"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Mar-2020","EQ","794.60","838.75","765.00","882.85","778.90","771.55","784.50","2,503.30","765.00",25142273,"19,724,138,348.90",590210
"20-Mar-2020","EQ","875.00","914.60","824.55","895.55","881.25","882.85","868.05","2,503.30","795.00",44319015,"38,471,082,495.00",790631
"19-Mar-2020","EQ","847.00","919.95","795.00","876.90","904.60","895.55","857.03","2,503.30","795.00",33610239,"28,805,078,999.25",632617
"18-Mar-2020","EQ","985.00","993.00","865.00","975.10","898.50","876.90","916.25","2,503.30","865.00",30593809,"28,031,432,118.60",652391
"17-Mar-2020","EQ","1,008.00","1,010.00","954.70","999.50","976.20","975.10","982.62","2,503.30","919.20",21338641,"20,967,841,371.15",447922
"16-Mar-2020","EQ","1,035.00","1,037.00","995.00","1,069.80","1,001.25","999.50","1,013.09","2,503.30","919.20",15993174,"16,202,484,604.30",430742
"13-Mar-2020","EQ","980.05","1,081.45","919.20","1,021.30","1,074.00","1,069.80","1,018.30","2,503.30","919.20",33171603,"33,778,614,285.40",541649
"12-Mar-2020","EQ","1,075.00","1,080.00","1,003.45","1,113.80","1,032.00","1,021.30","1,036.26","2,503.30","1,003.45",29500406,"30,570,004,192.95",503472
"11-Mar-2020","EQ","1,105.00","1,120.00","1,092.00","1,107.30","1,110.00","1,113.80","1,105.77","2,503.30","1,065.00",17769198,"19,648,640,086.25",344285
"09-Mar-2020","EQ","1,110.00","1,118.40","1,065.00","1,134.90","1,112.00","1,107.30","1,094.80","2,503.30","1,065.00",17210297,"18,841,871,874.25",427518
"06-Mar-2020","EQ","1,125.00","1,140.90","1,101.00","1,151.35","1,134.00","1,134.90","1,124.34","2,503.30","1,084.00",11526783,"12,959,999,027.40",272373
"05-Mar-2020","EQ","1,153.00","1,165.00","1,142.75","1,148.85","1,149.00","1,151.35","1,155.77","2,503.30","1,084.00",9774854,"11,297,450,389.35",262470
"04-Mar-2020","EQ","1,178.35","1,180.00","1,133.10","1,181.80","1,149.15","1,148.85","1,152.73","2,503.30","1,084.00",17144435,"19,762,846,784.70",503032
