"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Sep-2019","EQ","394.90","399.00","393.35","395.45","394.20","394.60","395.79","443.90","294.80",17463978,"6,912,074,095.80",157848
"09-Sep-2019","EQ","393.00","400.40","389.10","391.35","395.85","395.45","396.17","443.90","294.80",18651819,"7,389,247,021.80",165225
"06-Sep-2019","EQ","391.00","394.50","389.20","389.00","392.05","391.35","392.00","443.90","294.80",17564286,"6,885,227,550.90",161875
"05-Sep-2019","EQ","389.55","394.00","388.00","397.50","388.60","389.00","390.76","443.90","294.80",25022673,"9,777,946,780.00",271033
"04-Sep-2019","EQ","391.00","399.65","389.90","392.15","397.95","397.50","395.72","443.90","294.80",18614965,"7,366,389,453.35",168152
"03-Sep-2019","EQ","405.05","406.40","391.05","409.65","391.85","392.15","396.27","443.90","294.80",20194305,"8,002,458,000.20",220712
"30-Aug-2019","EQ","406.50","412.85","402.65","404.40","411.35","409.65","407.42","443.90","294.80",18314194,"7,461,525,667.65",225177
"29-Aug-2019","EQ","409.90","410.80","399.35","412.95","406.30","404.40","404.32","443.90","294.80",30331105,"12,263,525,189.50",197252
"28-Aug-2019","EQ","418.00","418.25","409.70","418.60","412.70","412.95","414.46","443.90","294.80",12154347,"5,037,546,077.85",170749
"27-Aug-2019","EQ","412.80","420.50","411.25","411.65","418.40","418.60","417.06","443.90","294.80",28793372,"12,008,603,661.30",266467
"26-Aug-2019","EQ","407.00","414.00","392.85","395.40","413.25","411.65","404.34","443.90","294.80",26701988,"10,796,549,055.30",212742
"23-Aug-2019","EQ","389.00","403.50","385.80","399.10","395.90","395.40","394.27","443.90","294.80",26883695,"10,599,558,654.90",308663
"22-Aug-2019","EQ","411.00","412.50","398.00","412.05","398.85","399.10","404.13","443.90","294.80",18182520,"7,348,057,394.20",190231
"21-Aug-2019","EQ","416.00","418.70","410.55","416.90","411.50","412.05","415.25","443.90","294.80",12868183,"5,343,457,015.05",134773
"20-Aug-2019","EQ","420.80","423.20","412.50","423.40","416.65","416.90","417.39","443.90","294.80",16181488,"6,753,998,015.40",163209
"19-Aug-2019","EQ","420.10","427.90","420.10","418.95","423.45","423.40","424.67","443.90","294.80",12304262,"5,225,224,537.50",122571
"16-Aug-2019","EQ","417.80","420.00","412.10","417.30","419.20","418.95","416.36","443.90","294.80",15154141,"6,309,578,175.10",162922
"14-Aug-2019","EQ","411.90","422.20","411.25","410.25","416.90","417.30","418.24","443.90","294.80",13307755,"5,565,883,355.20",147540
"13-Aug-2019","EQ","417.00","421.70","409.15","420.15","409.85","410.25","415.92","443.90","294.80",18389104,"7,648,346,484.30",221004
"09-Aug-2019","EQ","416.50","422.40","414.50","414.40","421.35","420.15","419.14","443.90","294.80",17664017,"7,403,662,920.75",127933
"08-Aug-2019","EQ","411.00","416.60","404.15","408.40","416.25","414.40","409.14","443.90","294.80",19046657,"7,792,706,984.85",154895
"07-Aug-2019","EQ","409.30","415.00","406.30","410.25","407.40","408.40","411.55","443.90","294.80",20977349,"8,633,243,520.35",154794
"06-Aug-2019","EQ","401.00","411.50","400.90","402.65","410.55","410.25","408.32","443.90","294.80",30665326,"12,521,214,684.25",301347
"05-Aug-2019","EQ","403.65","406.65","395.75","410.60","403.05","402.65","401.22","443.90","294.80",25033370,"10,043,943,342.85",242846
"02-Aug-2019","EQ","413.90","417.85","405.50","417.05","411.00","410.60","410.35","443.90","294.10",30939803,"12,696,139,252.30",243291
"01-Aug-2019","EQ","423.25","426.35","410.65","424.60","418.65","417.05","419.10","443.90","294.10",18269866,"7,656,815,097.95",193930
"31-Jul-2019","EQ","423.90","430.20","421.20","425.35","425.85","424.60","425.24","443.90","294.10",22329888,"9,495,605,716.75",194617
"30-Jul-2019","EQ","433.00","438.70","422.75","429.35","427.25","425.35","432.02","443.90","294.10",23617273,"10,203,148,627.45",233146
"29-Jul-2019","EQ","433.00","435.35","425.30","415.75","427.80","429.35","430.36","443.90","294.10",46754670,"20,121,277,371.75",440893
"26-Jul-2019","EQ","410.25","419.40","408.55","409.00","419.15","415.75","413.72","443.90","265.35",17493739,"7,237,591,426.75",170388
"25-Jul-2019","EQ","409.20","413.85","405.30","408.50","410.25","409.00","409.00","443.90","265.35",16852479,"6,892,665,789.25",170631
"24-Jul-2019","EQ","411.85","411.85","401.70","411.95","407.90","408.50","406.86","443.90","265.35",16505930,"6,715,646,902.70",172030
"23-Jul-2019","EQ","412.80","416.00","409.75","411.50","410.90","411.95","413.88","443.90","265.35",14207080,"5,880,090,845.20",148413
"22-Jul-2019","EQ","409.75","412.95","404.25","410.30","411.85","411.50","409.91","443.90","265.35",17937246,"7,352,709,902.10",145004
"19-Jul-2019","EQ","419.90","420.35","408.50","418.65","411.80","410.30","413.12","443.90","256.50",12260757,"5,065,177,929.30",192447
"18-Jul-2019","EQ","425.00","425.50","417.50","424.70","418.65","418.65","421.30","443.90","256.50",10651654,"4,487,535,587.65",116600
"17-Jul-2019","EQ","424.60","427.05","422.50","424.60","424.40","424.70","424.69","443.90","256.50",10961022,"4,655,039,847.80",122652
"16-Jul-2019","EQ","421.55","430.55","421.55","422.30","424.75","424.60","427.13","443.90","256.50",12149205,"5,189,289,509.20",145662
"15-Jul-2019","EQ","428.40","428.40","421.60","427.05","422.55","422.30","423.79","443.90","256.50",7825336,"3,316,303,938.45",89202
"12-Jul-2019","EQ","427.30","433.00","424.00","426.55","427.30","427.05","427.77","443.90","256.50",8824728,"3,774,992,119.05",96466
"11-Jul-2019","EQ","432.65","432.90","424.80","430.90","425.85","426.55","426.97","443.90","256.50",16535185,"7,060,047,738.65",181487
"10-Jul-2019","EQ","430.00","432.70","427.20","428.50","431.70","430.90","430.21","443.90","256.50",16494282,"7,095,953,645.35",140226
"09-Jul-2019","EQ","426.00","429.80","424.65","425.90","428.10","428.50","427.87","443.90","256.50",11679067,"4,997,093,443.50",134841
"08-Jul-2019","EQ","434.00","435.35","422.00","436.35","426.75","425.90","427.70","443.90","256.50",12184946,"5,211,553,599.15",121950
"05-Jul-2019","EQ","436.45","439.90","433.20","436.20","435.65","436.35","436.79","443.90","256.50",12154330,"5,308,871,074.15",95496
"04-Jul-2019","EQ","438.00","441.40","434.10","435.95","434.40","436.20","438.41","443.90","256.50",11810688,"5,177,940,304.65",112042
