State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Number speaking second language (Persons),Number speaking second language (Males),Number speaking second language (Females),Number speaking third language (Persons) ,Number speaking third language (Males) ,Number speaking third language (Females)
11,00,SIKKIM,Total,Age not stated,715,391,324,278,158,120
11,00,SIKKIM,Rural,Total,274230,152062,122168,118176,65545,52631
11,00,SIKKIM,Rural,5-9,15385,7662,7723,3536,1716,1820
11,00,SIKKIM,Rural,10-14,34757,17355,17402,15422,7527,7895
11,00,SIKKIM,Rural,15-19,39574,19902,19672,22145,10722,11423
11,00,SIKKIM,Rural,20-24,38129,20220,17909,19388,9994,9394
11,00,SIKKIM,Rural,25-29,34774,19344,15430,16540,8915,7625
11,00,SIKKIM,Rural,30-49,78046,46309,31737,32330,20126,12204
11,00,SIKKIM,Rural,50-69,26795,16961,9834,7438,5550,1888
11,00,SIKKIM,Rural,70+,6182,3989,2193,1175,882,293
11,00,SIKKIM,Rural,Age not stated,588,320,268,202,113,89
11,00,SIKKIM,Urban,Total,114769,61278,53491,63226,33882,29344
11,00,SIKKIM,Urban,5-9,6005,3072,2933,2252,1157,1095
11,00,SIKKIM,Urban,10-14,11595,5767,5828,6243,3086,3157
11,00,SIKKIM,Urban,15-19,13758,6787,6971,8511,4136,4375
11,00,SIKKIM,Urban,20-24,14944,7533,7411,8883,4301,4582
11,00,SIKKIM,Urban,25-29,15270,7938,7332,8859,4536,4323
11,00,SIKKIM,Urban,30-49,39033,21705,17328,21532,12191,9341
11,00,SIKKIM,Urban,50-69,12060,7275,4785,6112,3939,2173
11,00,SIKKIM,Urban,70+,1977,1130,847,758,491,267
11,00,SIKKIM,Urban,Age not stated,127,71,56,76,45,31
12,00,ARUNACHAL PRADESH,Total,Total,885945,478413,407532,418551,236666,181885
12,00,ARUNACHAL PRADESH,Total,5-9,79172,40256,38916,22366,11463,10903
12,00,ARUNACHAL PRADESH,Total,10-14,139785,70697,69088,64679,32966,31713
12,00,ARUNACHAL PRADESH,Total,15-19,130096,65847,64249,74224,37805,36419
12,00,ARUNACHAL PRADESH,Total,20-24,107857,54808,53049,58807,30484,28323
12,00,ARUNACHAL PRADESH,Total,25-29,99297,52429,46868,51105,28120,22985
12,00,ARUNACHAL PRADESH,Total,30-49,251228,143572,107656,118602,74319,44283
12,00,ARUNACHAL PRADESH,Total,50-69,66871,43702,23169,25303,19155,6148
12,00,ARUNACHAL PRADESH,Total,70+,10766,6584,4182,3059,2096,963
12,00,ARUNACHAL PRADESH,Total,Age not stated,873,518,355,406,258,148
12,00,ARUNACHAL PRADESH,Rural,Total,658664,356907,301757,292514,168050,124464
12,00,ARUNACHAL PRADESH,Rural,5-9,60934,31213,29721,16869,8656,8213
12,00,ARUNACHAL PRADESH,Rural,10-14,108202,55071,53131,48341,24832,23509
12,00,ARUNACHAL PRADESH,Rural,15-19,96571,49444,47127,52775,27283,25492
12,00,ARUNACHAL PRADESH,Rural,20-24,79874,41006,38868,41512,22060,19452
12,00,ARUNACHAL PRADESH,Rural,25-29,72435,38401,34034,35442,20055,15387
12,00,ARUNACHAL PRADESH,Rural,30-49,179150,102431,76719,77680,50186,27494
12,00,ARUNACHAL PRADESH,Rural,50-69,51729,33296,18433,17224,13123,4101
12,00,ARUNACHAL PRADESH,Rural,70+,9076,5644,3432,2339,1644,695
12,00,ARUNACHAL PRADESH,Rural,Age not stated,693,401,292,332,211,121
12,00,ARUNACHAL PRADESH,Urban,Total,227281,121506,105775,126037,68616,57421
12,00,ARUNACHAL PRADESH,Urban,5-9,18238,9043,9195,5497,2807,2690
12,00,ARUNACHAL PRADESH,Urban,10-14,31583,15626,15957,16338,8134,8204
12,00,ARUNACHAL PRADESH,Urban,15-19,33525,16403,17122,21449,10522,10927
12,00,ARUNACHAL PRADESH,Urban,20-24,27983,13802,14181,17295,8424,8871
12,00,ARUNACHAL PRADESH,Urban,25-29,26862,14028,12834,15663,8065,7598
12,00,ARUNACHAL PRADESH,Urban,30-49,72078,41141,30937,40922,24133,16789
12,00,ARUNACHAL PRADESH,Urban,50-69,15142,10406,4736,8079,6032,2047
12,00,ARUNACHAL PRADESH,Urban,70+,1690,940,750,720,452,268
12,00,ARUNACHAL PRADESH,Urban,Age not stated,180,117,63,74,47,27
13,00,NAGALAND,Total,Total,1229723,661899,567824,537481,306593,230888
13,00,NAGALAND,Total,5-9,76558,39454,37104,20184,10355,9829
13,00,NAGALAND,Total,10-14,167282,86761,80521,65276,33711,31565
13,00,NAGALAND,Total,15-19,183998,94641,89357,88924,46015,42909
13,00,NAGALAND,Total,20-24,166321,85061,81260,82440,43183,39257
13,00,NAGALAND,Total,25-29,143158,74043,69115,69024,37805,31219
13,00,NAGALAND,Total,30-49,364258,200129,164129,161767,98784,62983
13,00,NAGALAND,Total,50-69,108575,68531,40044,43182,31552,11630
13,00,NAGALAND,Total,70+,18917,12888,6029,6433,5020,1413
13,00,NAGALAND,Total,Age not stated,656,391,265,251,168,83
13,00,NAGALAND,Rural,Total,805544,437247,368297,306186,179418,126768
13,00,NAGALAND,Rural,5-9,46513,24063,22450,9810,5059,4751
13,00,NAGALAND,Rural,10-14,111488,58297,53191,37196,19489,17707
13,00,NAGALAND,Rural,15-19,123882,63991,59891,53524,27846,25678
13,00,NAGALAND,Rural,20-24,109069,56217,52852,48396,25998,22398
13,00,NAGALAND,Rural,25-29,91201,47135,44066,38687,21735,16952
13,00,NAGALAND,Rural,30-49,236727,130940,105787,89941,57196,32745
13,00,NAGALAND,Rural,50-69,72657,46682,25975,24462,18697,5765
13,00,NAGALAND,Rural,70+,13457,9600,3857,3977,3273,704
13,00,NAGALAND,Rural,Age not stated,550,322,228,193,125,68
13,00,NAGALAND,Urban,Total,424179,224652,199527,231295,127175,104120
13,00,NAGALAND,Urban,5-9,30045,15391,14654,10374,5296,5078
13,00,NAGALAND,Urban,10-14,55794,28464,27330,28080,14222,13858
13,00,NAGALAND,Urban,15-19,60116,30650,29466,35400,18169,17231
13,00,NAGALAND,Urban,20-24,57252,28844,28408,34044,17185,16859
13,00,NAGALAND,Urban,25-29,51957,26908,25049,30337,16070,14267
13,00,NAGALAND,Urban,30-49,127531,69189,58342,71826,41588,30238
13,00,NAGALAND,Urban,50-69,35918,21849,14069,18720,12855,5865
13,00,NAGALAND,Urban,70+,5460,3288,2172,2456,1747,709
13,00,NAGALAND,Urban,Age not stated,106,69,37,58,43,15
14,00,MANIPUR,Total,Total,1388620,760287,628333,616818,356245,260573
14,00,MANIPUR,Total,5-9,54239,27852,26387,11849,6071,5778
14,00,MANIPUR,Total,10-14,143233,73752,69481,47531,24548,22983
14,00,MANIPUR,Total,15-19,180446,92569,87877,80381,41749,38632
14,00,MANIPUR,Total,20-24,182229,94059,88170,88711,47320,41391
14,00,MANIPUR,Total,25-29,174781,91770,83011,85642,46763,38879
14,00,MANIPUR,Total,30-49,455117,254282,200835,216676,129446,87230
14,00,MANIPUR,Total,50-69,166672,104890,61782,73935,51361,22574
14,00,MANIPUR,Total,70+,28528,19225,9303,10773,8203,2570
14,00,MANIPUR,Total,Age not stated,3375,1888,1487,1320,784,536
14,00,MANIPUR,Rural,Total,957878,527082,430796,376083,221927,154156
14,00,MANIPUR,Rural,5-9,40846,21111,19735,8226,4231,3995
14,00,MANIPUR,Rural,10-14,104830,54401,50429,31728,16608,15120
14,00,MANIPUR,Rural,15-19,131873,68026,63847,54360,28570,25790
14,00,MANIPUR,Rural,20-24,129835,67647,62188,57729,31461,26268
14,00,MANIPUR,Rural,25-29,119155,63312,55843,52538,29645,22893
14,00,MANIPUR,Rural,30-49,301538,170558,130980,125568,78193,47375
14,00,MANIPUR,Rural,50-69,108243,68164,40079,39247,28373,10874
14,00,MANIPUR,Rural,70+,19234,12539,6695,5825,4329,1496
14,00,MANIPUR,Rural,Age not stated,2324,1324,1000,862,517,345
14,00,MANIPUR,Urban,Total,430742,233205,197537,240735,134318,106417
14,00,MANIPUR,Urban,5-9,13393,6741,6652,3623,1840,1783
14,00,MANIPUR,Urban,10-14,38403,19351,19052,15803,7940,7863
14,00,MANIPUR,Urban,15-19,48573,24543,24030,26021,13179,12842
14,00,MANIPUR,Urban,20-24,52394,26412,25982,30982,15859,15123
14,00,MANIPUR,Urban,25-29,55626,28458,27168,33104,17118,15986
14,00,MANIPUR,Urban,30-49,153579,83724,69855,91108,51253,39855
14,00,MANIPUR,Urban,50-69,58429,36726,21703,34688,22988,11700
14,00,MANIPUR,Urban,70+,9294,6686,2608,4948,3874,1074
14,00,MANIPUR,Urban,Age not stated,1051,564,487,458,267,191
15,00,MIZORAM,Total,Total,309703,174164,135539,52966,34714,18252
15,00,MIZORAM,Total,5-9,12142,6271,5871,657,341,316
15,00,MIZORAM,Total,10-14,28446,14509,13937,3011,1661,1350
15,00,MIZORAM,Total,15-19,43552,22186,21366,5621,3150,2471
15,00,MIZORAM,Total,20-24,45775,23881,21894,7462,4311,3151
15,00,MIZORAM,Total,25-29,40397,21812,18585,7405,4536,2869
15,00,MIZORAM,Total,30-49,100223,59038,41185,20192,13955,6237
15,00,MIZORAM,Total,50-69,33107,22235,10872,7344,5719,1625
15,00,MIZORAM,Total,70+,5904,4117,1787,1247,1027,220
15,00,MIZORAM,Total,Age not stated,157,115,42,27,14,13
15,00,MIZORAM,Rural,Total,123209,71744,51465,18117,12714,5403
15,00,MIZORAM,Rural,5-9,7248,3756,3492,271,145,126
15,00,MIZORAM,Rural,10-14,14204,7393,6811,1589,914,675
15,00,MIZORAM,Rural,15-19,16403,8836,7567,2485,1584,901
15,00,MIZORAM,Rural,20-24,17065,9266,7799,2862,1807,1055
15,00,MIZORAM,Rural,25-29,15337,8754,6583,2568,1740,828
15,00,MIZORAM,Rural,30-49,37025,23037,13988,5985,4545,1440
15,00,MIZORAM,Rural,50-69,13433,9058,4375,2039,1718,321
15,00,MIZORAM,Rural,70+,2437,1606,831,306,254,52
15,00,MIZORAM,Rural,Age not stated,57,38,19,12,7,5
15,00,MIZORAM,Urban,Total,186494,102420,84074,34849,22000,12849
15,00,MIZORAM,Urban,5-9,4894,2515,2379,386,196,190
15,00,MIZORAM,Urban,10-14,14242,7116,7126,1422,747,675
15,00,MIZORAM,Urban,15-19,27149,13350,13799,3136,1566,1570
15,00,MIZORAM,Urban,20-24,28710,14615,14095,4600,2504,2096
15,00,MIZORAM,Urban,25-29,25060,13058,12002,4837,2796,2041
15,00,MIZORAM,Urban,30-49,63198,36001,27197,14207,9410,4797
15,00,MIZORAM,Urban,50-69,19674,13177,6497,5305,4001,1304
15,00,MIZORAM,Urban,70+,3467,2511,956,941,773,168
15,00,MIZORAM,Urban,Age not stated,100,77,23,15,7,8
16,00,TRIPURA,Total,Total,1268601,713499,555102,198577,129143,69434
16,00,TRIPURA,Total,5-9,66014,33904,32110,3569,1875,1694
16,00,TRIPURA,Total,10-14,133105,68731,64374,12806,6717,6089
16,00,TRIPURA,Total,15-19,154407,79842,74565,24110,13453,10657
16,00,TRIPURA,Total,20-24,164091,85830,78261,30643,18236,12407
16,00,TRIPURA,Total,25-29,149063,83243,65820,27299,17653,9646
16,00,TRIPURA,Total,30-49,408414,240573,167841,71145,49234,21911
16,00,TRIPURA,Total,50-69,159331,99883,59448,25825,19441,6384
16,00,TRIPURA,Total,70+,33775,21261,12514,3117,2494,623
16,00,TRIPURA,Total,Age not stated,401,232,169,63,40,23
16,00,TRIPURA,Rural,Total,998741,554074,444667,111473,75094,36379
16,00,TRIPURA,Rural,5-9,59380,30493,28887,2302,1216,1086
16,00,TRIPURA,Rural,10-14,117273,60680,56593,8623,4554,4069
16,00,TRIPURA,Rural,15-19,127610,65830,61780,15930,9095,6835
16,00,TRIPURA,Rural,20-24,131138,68081,63057,19325,12084,7241
16,00,TRIPURA,Rural,25-29,117141,65034,52107,16702,11506,5196
16,00,TRIPURA,Rural,30-49,304365,177607,126758,37446,27838,9608
16,00,TRIPURA,Rural,50-69,113602,69028,44574,9615,7602,2013
16,00,TRIPURA,Rural,70+,27925,17142,10783,1494,1173,321
16,00,TRIPURA,Rural,Age not stated,307,179,128,36,26,10
16,00,TRIPURA,Urban,Total,269860,159425,110435,87104,54049,33055
16,00,TRIPURA,Urban,5-9,6634,3411,3223,1267,659,608
16,00,TRIPURA,Urban,10-14,15832,8051,7781,4183,2163,2020
16,00,TRIPURA,Urban,15-19,26797,14012,12785,8180,4358,3822
16,00,TRIPURA,Urban,20-24,32953,17749,15204,11318,6152,5166
16,00,TRIPURA,Urban,25-29,31922,18209,13713,10597,6147,4450
16,00,TRIPURA,Urban,30-49,104049,62966,41083,33699,21396,12303
16,00,TRIPURA,Urban,50-69,45729,30855,14874,16210,11839,4371
16,00,TRIPURA,Urban,70+,5850,4119,1731,1623,1321,302
16,00,TRIPURA,Urban,Age not stated,94,53,41,27,14,13
17,00,MEGHALAYA,Total,Total,822320,441080,381240,274931,160749,114182
17,00,MEGHALAYA,Total,5-9,35650,17733,17917,5929,3000,2929
17,00,MEGHALAYA,Total,10-14,91347,44869,46478,22372,11248,11124
17,00,MEGHALAYA,Total,15-19,124246,61319,62927,38320,19928,18392
17,00,MEGHALAYA,Total,20-24,117456,59311,58145,40613,21901,18712
17,00,MEGHALAYA,Total,25-29,102344,54715,47629,37290,21395,15895
17,00,MEGHALAYA,Total,30-49,251970,143454,108516,94069,58689,35380
17,00,MEGHALAYA,Total,50-69,82656,50010,32646,31023,21024,9999
17,00,MEGHALAYA,Total,70+,15076,8566,6510,4856,3199,1657
17,00,MEGHALAYA,Total,Age not stated,1575,1103,472,459,365,94
17,00,MEGHALAYA,Rural,Total,473698,263006,210692,123303,78030,45273
17,00,MEGHALAYA,Rural,5-9,21275,10579,10696,2240,1128,1112
17,00,MEGHALAYA,Rural,10-14,54459,26625,27834,9397,4810,4587
17,00,MEGHALAYA,Rural,15-19,73054,36200,36854,17552,9462,8090
17,00,MEGHALAYA,Rural,20-24,67305,34179,33126,18665,10605,8060
17,00,MEGHALAYA,Rural,25-29,59052,32727,26325,17408,10869,6539
17,00,MEGHALAYA,Rural,30-49,142911,86393,56518,42598,29447,13151
17,00,MEGHALAYA,Rural,50-69,46245,30372,15873,13180,10008,3172
17,00,MEGHALAYA,Rural,70+,8492,5382,3110,2083,1573,510
17,00,MEGHALAYA,Rural,Age not stated,905,549,356,180,128,52
17,00,MEGHALAYA,Urban,Total,348622,178074,170548,151628,82719,68909
17,00,MEGHALAYA,Urban,5-9,14375,7154,7221,3689,1872,1817
17,00,MEGHALAYA,Urban,10-14,36888,18244,18644,12975,6438,6537
17,00,MEGHALAYA,Urban,15-19,51192,25119,26073,20768,10466,10302
17,00,MEGHALAYA,Urban,20-24,50151,25132,25019,21948,11296,10652
17,00,MEGHALAYA,Urban,25-29,43292,21988,21304,19882,10526,9356
17,00,MEGHALAYA,Urban,30-49,109059,57061,51998,51471,29242,22229
17,00,MEGHALAYA,Urban,50-69,36411,19638,16773,17843,11016,6827
17,00,MEGHALAYA,Urban,70+,6584,3184,3400,2773,1626,1147
17,00,MEGHALAYA,Urban,Age not stated,670,554,116,279,237,42
18,00,ASSAM,Total,Total,14460591,7979404,6481187,4352497,2636287,1716210
18,00,ASSAM,Total,5-9,933458,474237,459221,75685,39158,36527
18,00,ASSAM,Total,10-14,1709983,876552,833431,346634,177427,169207
18,00,ASSAM,Total,15-19,1779391,942970,836421,588953,315028,273925
18,00,ASSAM,Total,20-24,1729663,883858,845805,612884,336045,276839
18,00,ASSAM,Total,25-29,1664518,887561,776957,565338,327137,238201
18,00,ASSAM,Total,30-49,4587841,2641954,1945887,1546934,991577,555357
18,00,ASSAM,Total,50-69,1702077,1055296,646781,529591,385030,144561
18,00,ASSAM,Total,70+,346393,213009,133384,84215,63499,20716
18,00,ASSAM,Total,Age not stated,7267,3967,3300,2263,1386,877
18,00,ASSAM,Rural,Total,11781858,6506486,5275372,2969373,1835672,1133701
18,00,ASSAM,Rural,5-9,830906,421433,409473,49958,25892,24066
18,00,ASSAM,Rural,10-14,1489489,763002,726487,260043,132928,127115
18,00,ASSAM,Rural,15-19,1501513,799092,702421,446282,240932,205350
18,00,ASSAM,Rural,20-24,1420161,726641,693520,443510,247888,195622
18,00,ASSAM,Rural,25-29,1357575,729475,628100,400651,239935,160716
18,00,ASSAM,Rural,30-49,3598951,2090572,1508379,1010932,676345,334587
18,00,ASSAM,Rural,50-69,1302108,804221,497887,306874,232150,74724
18,00,ASSAM,Rural,70+,275973,169247,106726,49848,38798,11050
18,00,ASSAM,Rural,Age not stated,5182,2803,2379,1275,804,471
18,00,ASSAM,Urban,Total,2678733,1472918,1205815,1383124,800615,582509
18,00,ASSAM,Urban,5-9,102552,52804,49748,25727,13266,12461
18,00,ASSAM,Urban,10-14,220494,113550,106944,86591,44499,42092
18,00,ASSAM,Urban,15-19,277878,143878,134000,142671,74096,68575
18,00,ASSAM,Urban,20-24,309502,157217,152285,169374,88157,81217
18,00,ASSAM,Urban,25-29,306943,158086,148857,164687,87202,77485
18,00,ASSAM,Urban,30-49,988890,551382,437508,536002,315232,220770
18,00,ASSAM,Urban,50-69,399969,251075,148894,222717,152880,69837
18,00,ASSAM,Urban,70+,70420,43762,26658,34367,24701,9666
18,00,ASSAM,Urban,Age not stated,2085,1164,921,988,582,406
19,00,WEST BENGAL,Total,Total,15025848,8782338,6243510,2881005,1789355,1091650
19,00,WEST BENGAL,Total,5-9,583978,301181,282797,41967,22141,19826
19,00,WEST BENGAL,Total,10-14,1207047,622763,584284,145092,75918,69174
19,00,WEST BENGAL,Total,15-19,1741230,934075,807155,293144,157638,135506
19,00,WEST BENGAL,Total,20-24,1878102,1043010,835092,376243,212153,164090
19,00,WEST BENGAL,Total,25-29,1703267,971326,731941,350511,204325,146186
19,00,WEST BENGAL,Total,30-49,5049629,3034749,2014880,1019941,644335,375606
19,00,WEST BENGAL,Total,50-69,2384451,1555542,828909,546289,390693,155596
19,00,WEST BENGAL,Total,70+,459040,308693,150347,103379,79483,23896
19,00,WEST BENGAL,Total,Age not stated,19104,10999,8105,4439,2669,1770
19,00,WEST BENGAL,Rural,Total,6968587,4098221,2870366,664075,447876,216199
19,00,WEST BENGAL,Rural,5-9,351939,179694,172245,10233,5387,4846
19,00,WEST BENGAL,Rural,10-14,691994,354467,337527,40828,21442,19386
19,00,WEST BENGAL,Rural,15-19,951779,517198,434581,92931,52239,40692
19,00,WEST BENGAL,Rural,20-24,945269,542610,402659,108018,67409,40609
19,00,WEST BENGAL,Rural,25-29,804001,480572,323429,91363,61023,30340
19,00,WEST BENGAL,Rural,30-49,2165933,1339906,826027,220287,158947,61340
19,00,WEST BENGAL,Rural,50-69,897343,582917,314426,87011,70302,16709
19,00,WEST BENGAL,Rural,70+,155210,97680,57530,12856,10717,2139
19,00,WEST BENGAL,Rural,Age not stated,5119,3177,1942,548,410,138
19,00,WEST BENGAL,Urban,Total,8057261,4684117,3373144,2216930,1341479,875451
19,00,WEST BENGAL,Urban,5-9,232039,121487,110552,31734,16754,14980
19,00,WEST BENGAL,Urban,10-14,515053,268296,246757,104264,54476,49788
19,00,WEST BENGAL,Urban,15-19,789451,416877,372574,200213,105399,94814
19,00,WEST BENGAL,Urban,20-24,932833,500400,432433,268225,144744,123481
19,00,WEST BENGAL,Urban,25-29,899266,490754,408512,259148,143302,115846
19,00,WEST BENGAL,Urban,30-49,2883696,1694843,1188853,799654,485388,314266
19,00,WEST BENGAL,Urban,50-69,1487108,972625,514483,459278,320391,138887
19,00,WEST BENGAL,Urban,70+,303830,211013,92817,90523,68766,21757
19,00,WEST BENGAL,Urban,Age not stated,13985,7822,6163,3891,2259,1632
20,00,JHARKHAND,Total,Total,10000720,5474214,4526506,1593039,965960,627079
20,00,JHARKHAND,Total,5-9,842492,431685,410807,58868,30590,28278
20,00,JHARKHAND,Total,10-14,1462648,755151,707497,181061,95075,85986
20,00,JHARKHAND,Total,15-19,1268967,684406,584561,232434,129094,103340
20,00,JHARKHAND,Total,20-24,1100219,587663,512556,208538,119424,89114
20,00,JHARKHAND,Total,25-29,993770,544329,449441,178471,106673,71798
20,00,JHARKHAND,Total,30-49,2817266,1595782,1221484,489116,314067,175049
20,00,JHARKHAND,Total,50-69,1258732,728057,530675,206441,144229,62212
20,00,JHARKHAND,Total,70+,217349,125616,91733,31790,23079,8711
20,00,JHARKHAND,Total,Age not stated,39277,21525,17752,6320,3729,2591
20,00,JHARKHAND,Rural,Total,6988351,3838416,3149935,932202,587017,345185
20,00,JHARKHAND,Rural,5-9,647347,329775,317572,38742,20096,18646
20,00,JHARKHAND,Rural,10-14,1124205,580269,543936,124475,65882,58593
20,00,JHARKHAND,Rural,15-19,885574,483616,401958,144481,83467,61014
20,00,JHARKHAND,Rural,20-24,735170,397351,337819,120823,73484,47339
20,00,JHARKHAND,Rural,25-29,668560,372042,296518,102953,65607,37346
20,00,JHARKHAND,Rural,30-49,1902872,1090703,812169,276324,189039,87285
20,00,JHARKHAND,Rural,50-69,858371,490137,368234,106345,76537,29808
20,00,JHARKHAND,Rural,70+,147689,84451,63238,15876,11567,4309
20,00,JHARKHAND,Rural,Age not stated,18563,10072,8491,2183,1338,845
20,00,JHARKHAND,Urban,Total,3012369,1635798,1376571,660837,378943,281894
20,00,JHARKHAND,Urban,5-9,195145,101910,93235,20126,10494,9632
20,00,JHARKHAND,Urban,10-14,338443,174882,163561,56586,29193,27393
20,00,JHARKHAND,Urban,15-19,383393,200790,182603,87953,45627,42326
20,00,JHARKHAND,Urban,20-24,365049,190312,174737,87715,45940,41775
20,00,JHARKHAND,Urban,25-29,325210,172287,152923,75518,41066,34452
20,00,JHARKHAND,Urban,30-49,914394,505079,409315,212792,125028,87764
20,00,JHARKHAND,Urban,50-69,400361,237920,162441,100096,67692,32404
20,00,JHARKHAND,Urban,70+,69660,41165,28495,15914,11512,4402
20,00,JHARKHAND,Urban,Age not stated,20714,11453,9261,4137,2391,1746
21,00,ODISHA,Total,Total,13825024,7865598,5959426,5525278,3359211,2166067
21,00,ODISHA,Total,5-9,658868,336037,322831,81653,43370,38283
21,00,ODISHA,Total,10-14,1577767,804896,772871,461448,235999,225449
21,00,ODISHA,Total,15-19,1903448,996804,906644,875749,465428,410321
21,00,ODISHA,Total,20-24,1811404,973655,837749,833322,466127,367195
21,00,ODISHA,Total,25-29,1641403,913662,727741,738696,429848,308848
21,00,ODISHA,Total,30-49,4335549,2609566,1725983,1861793,1209395,652398
21,00,ODISHA,Total,50-69,1590003,1037091,552912,577569,437944,139625
21,00,ODISHA,Total,70+,267691,171892,95799,79868,61957,17911
21,00,ODISHA,Total,Age not stated,38891,21995,16896,15180,9143,6037
21,00,ODISHA,Rural,Total,10031393,5740445,4290948,3361065,2102935,1258130
21,00,ODISHA,Rural,5-9,519339,262587,256752,37945,19883,18062
21,00,ODISHA,Rural,10-14,1238370,630420,607950,303209,154752,148457
21,00,ODISHA,Rural,15-19,1430955,748726,682229,588041,315335,272706
21,00,ODISHA,Rural,20-24,1324170,718078,606092,538229,309529,228700
21,00,ODISHA,Rural,25-29,1201587,681949,519638,475817,289177,186640
21,00,ODISHA,Rural,30-49,3012578,1853645,1158933,1076004,742577,333427
21,00,ODISHA,Rural,50-69,1093296,712837,380459,294815,235465,59350
21,00,ODISHA,Rural,70+,185530,117674,67856,39011,31217,7794
21,00,ODISHA,Rural,Age not stated,25568,14529,11039,7994,5000,2994
21,00,ODISHA,Urban,Total,3793631,2125153,1668478,2164213,1256276,907937
21,00,ODISHA,Urban,5-9,139529,73450,66079,43708,23487,20221
21,00,ODISHA,Urban,10-14,339397,174476,164921,158239,81247,76992
21,00,ODISHA,Urban,15-19,472493,248078,224415,287708,150093,137615
21,00,ODISHA,Urban,20-24,487234,255577,231657,295093,156598,138495
21,00,ODISHA,Urban,25-29,439816,231713,208103,262879,140671,122208
21,00,ODISHA,Urban,30-49,1322971,755921,567050,785789,466818,318971
21,00,ODISHA,Urban,50-69,496707,324254,172453,282754,202479,80275
21,00,ODISHA,Urban,70+,82161,54218,27943,40857,30740,10117
21,00,ODISHA,Urban,Age not stated,13323,7466,5857,7186,4143,3043
22,00,CHHATTISGARH,Total,Total,3384223,1820621,1563602,422569,245150,177419
22,00,CHHATTISGARH,Total,5-9,271809,141604,130205,14730,7646,7084
22,00,CHHATTISGARH,Total,10-14,436170,226721,209449,40262,21566,18696
22,00,CHHATTISGARH,Total,15-19,405636,210775,194861,51939,27497,24442
22,00,CHHATTISGARH,Total,20-24,389948,201401,188547,54010,28968,25042
22,00,CHHATTISGARH,Total,25-29,340868,183985,156883,47238,26659,20579
22,00,CHHATTISGARH,Total,30-49,1023357,566559,456798,145345,87057,58288
22,00,CHHATTISGARH,Total,50-69,429772,242011,187761,58416,38300,20116
22,00,CHHATTISGARH,Total,70+,83613,45873,37740,10288,7255,3033
22,00,CHHATTISGARH,Total,Age not stated,3050,1692,1358,341,202,139
22,00,CHHATTISGARH,Rural,Total,2094811,1139954,954857,197443,119521,77922
22,00,CHHATTISGARH,Rural,5-9,198227,102686,95541,9533,4941,4592
22,00,CHHATTISGARH,Rural,10-14,315492,163436,152056,24650,13421,11229
22,00,CHHATTISGARH,Rural,15-19,267911,139607,128304,29537,16017,13520
22,00,CHHATTISGARH,Rural,20-24,240640,126210,114430,27865,15912,11953
22,00,CHHATTISGARH,Rural,25-29,203747,114112,89635,23052,14354,8698
22,00,CHHATTISGARH,Rural,30-49,584272,333102,251170,60683,39885,20798
22,00,CHHATTISGARH,Rural,50-69,238874,135730,103144,19354,13169,6185
22,00,CHHATTISGARH,Rural,70+,44387,24376,20011,2650,1743,907
22,00,CHHATTISGARH,Rural,Age not stated,1261,695,566,119,79,40
22,00,CHHATTISGARH,Urban,Total,1289412,680667,608745,225126,125629,99497
22,00,CHHATTISGARH,Urban,5-9,73582,38918,34664,5197,2705,2492
22,00,CHHATTISGARH,Urban,10-14,120678,63285,57393,15612,8145,7467
22,00,CHHATTISGARH,Urban,15-19,137725,71168,66557,22402,11480,10922
22,00,CHHATTISGARH,Urban,20-24,149308,75191,74117,26145,13056,13089
22,00,CHHATTISGARH,Urban,25-29,137121,69873,67248,24186,12305,11881
22,00,CHHATTISGARH,Urban,30-49,439085,233457,205628,84662,47172,37490
22,00,CHHATTISGARH,Urban,50-69,190898,106281,84617,39062,25131,13931
22,00,CHHATTISGARH,Urban,70+,39226,21497,17729,7638,5512,2126
22,00,CHHATTISGARH,Urban,Age not stated,1789,997,792,222,123,99
23,00,MADHYA PRADESH,Total,Total,9808682,5474699,4333983,1257953,758130,499823
23,00,MADHYA PRADESH,Total,5-9,652029,333783,318246,19694,10244,9450
23,00,MADHYA PRADESH,Total,10-14,1225324,634283,591041,120698,63117,57581
23,00,MADHYA PRADESH,Total,15-19,1367441,732108,635333,220669,121090,99579
23,00,MADHYA PRADESH,Total,20-24,1267570,702092,565478,189794,110897,78897
23,00,MADHYA PRADESH,Total,25-29,1005440,562848,442592,141123,84050,57073
23,00,MADHYA PRADESH,Total,30-49,2842920,1645503,1197417,377928,239192,138736
23,00,MADHYA PRADESH,Total,50-69,1184474,712523,471951,155971,106786,49185
23,00,MADHYA PRADESH,Total,70+,251941,145211,106730,30600,21884,8716
23,00,MADHYA PRADESH,Total,Age not stated,11543,6348,5195,1476,870,606
23,00,MADHYA PRADESH,Rural,Total,5329355,2994271,2335084,562738,366897,195841
23,00,MADHYA PRADESH,Rural,5-9,468606,236906,231700,6992,3640,3352
23,00,MADHYA PRADESH,Rural,10-14,841567,431794,409773,71722,37682,34040
23,00,MADHYA PRADESH,Rural,15-19,817854,442875,374979,134747,77262,57485
23,00,MADHYA PRADESH,Rural,20-24,662352,381456,280896,98001,63370,34631
23,00,MADHYA PRADESH,Rural,25-29,502401,295827,206574,64423,44007,20416
